[INFO] Scanning for projects...
[INFO] 
[INFO] -------------------< com.example:lunar-flyby-orekit >-------------------
[INFO] Building lunar-flyby-orekit 1.0-SNAPSHOT
[INFO]   from pom.xml
[INFO] --------------------------------[ jar ]---------------------------------
[INFO] 
[INFO] --- exec:3.2.0:java (default-cli) @ lunar-flyby-orekit ---
Orekit inicializado correctamente.
========================================
      LUNAR FLYBY SIMULATOR
========================================

Simulación iniciada.

Tiempo: 1100 s | X: 1834.20 km | Y: 5625.78 km | Z: 3054.55 km | Velocidad: 7.75 km/s | Tierra: 6659.13 km
Tiempo: 1110 s | X: 1759.81 km | Y: 5644.78 km | Z: 3064.87 km | Velocidad: 7.75 km/s | Tierra: 6659.87 km
Tiempo: 1120 s | X: 1685.17 km | Y: 5663.02 km | Z: 3074.77 km | Velocidad: 7.75 km/s | Tierra: 6660.62 km
Tiempo: 1130 s | X: 1610.31 km | Y: 5680.50 km | Z: 3084.26 km | Velocidad: 7.75 km/s | Tierra: 6661.37 km
Tiempo: 1140 s | X: 1535.24 km | Y: 5697.21 km | Z: 3093.33 km | Velocidad: 7.74 km/s | Tierra: 6662.12 km
Tiempo: 1150 s | X: 1459.95 km | Y: 5713.15 km | Z: 3101.99 km | Velocidad: 7.74 km/s | Tierra: 6662.87 km
Tiempo: 1160 s | X: 1384.47 km | Y: 5728.32 km | Z: 3110.22 km | Velocidad: 7.74 km/s | Tierra: 6663.62 km
Tiempo: 1170 s | X: 1308.80 km | Y: 5742.72 km | Z: 3118.04 km | Velocidad: 7.74 km/s | Tierra: 6664.38 km
Tiempo: 1180 s | X: 1232.96 km | Y: 5756.35 km | Z: 3125.44 km | Velocidad: 7.74 km/s | Tierra: 6665.14 km
Tiempo: 1190 s | X: 1156.95 km | Y: 5769.20 km | Z: 3132.42 km | Velocidad: 7.74 km/s | Tierra: 6665.90 km
Tiempo: 1200 s | X: 1080.79 km | Y: 5781.27 km | Z: 3138.97 km | Velocidad: 7.74 km/s | Tierra: 6666.66 km
Tiempo: 1210 s | X: 1004.48 km | Y: 5792.57 km | Z: 3145.11 km | Velocidad: 7.74 km/s | Tierra: 6667.42 km
Tiempo: 1220 s | X: 928.03 km | Y: 5803.09 km | Z: 3150.82 km | Velocidad: 7.74 km/s | Tierra: 6668.19 km
Tiempo: 1230 s | X: 851.46 km | Y: 5812.83 km | Z: 3156.11 km | Velocidad: 7.74 km/s | Tierra: 6668.95 km
Tiempo: 1240 s | X: 774.78 km | Y: 5821.78 km | Z: 3160.97 km | Velocidad: 7.74 km/s | Tierra: 6669.72 km
Tiempo: 1250 s | X: 697.99 km | Y: 5829.96 km | Z: 3165.41 km | Velocidad: 7.73 km/s | Tierra: 6670.49 km
Tiempo: 1260 s | X: 621.11 km | Y: 5837.35 km | Z: 3169.42 km | Velocidad: 7.73 km/s | Tierra: 6671.26 km
Tiempo: 1270 s | X: 544.14 km | Y: 5843.96 km | Z: 3173.01 km | Velocidad: 7.73 km/s | Tierra: 6672.03 km
Tiempo: 1280 s | X: 467.10 km | Y: 5849.78 km | Z: 3176.17 km | Velocidad: 7.73 km/s | Tierra: 6672.80 km
Tiempo: 1290 s | X: 390.00 km | Y: 5854.82 km | Z: 3178.91 km | Velocidad: 7.73 km/s | Tierra: 6673.57 km
Tiempo: 1300 s | X: 312.85 km | Y: 5859.08 km | Z: 3181.22 km | Velocidad: 7.73 km/s | Tierra: 6674.34 km
Tiempo: 1310 s | X: 235.65 km | Y: 5862.55 km | Z: 3183.10 km | Velocidad: 7.73 km/s | Tierra: 6675.11 km
Tiempo: 1320 s | X: 158.42 km | Y: 5865.23 km | Z: 3184.56 km | Velocidad: 7.73 km/s | Tierra: 6675.88 km
Tiempo: 1330 s | X: 81.17 km | Y: 5867.13 km | Z: 3185.59 km | Velocidad: 7.73 km/s | Tierra: 6676.66 km
Tiempo: 1340 s | X: 3.91 km | Y: 5868.24 km | Z: 3186.19 km | Velocidad: 7.73 km/s | Tierra: 6677.43 km
Tiempo: 1350 s | X: -73.35 km | Y: 5868.56 km | Z: 3186.37 km | Velocidad: 7.73 km/s | Tierra: 6678.20 km
Tiempo: 1360 s | X: -150.60 km | Y: 5868.11 km | Z: 3186.12 km | Velocidad: 7.72 km/s | Tierra: 6678.98 km
Tiempo: 1370 s | X: -227.83 km | Y: 5866.86 km | Z: 3185.45 km | Velocidad: 7.72 km/s | Tierra: 6679.75 km
Tiempo: 1380 s | X: -305.03 km | Y: 5864.83 km | Z: 3184.34 km | Velocidad: 7.72 km/s | Tierra: 6680.52 km
Tiempo: 1390 s | X: -382.18 km | Y: 5862.02 km | Z: 3182.82 km | Velocidad: 7.72 km/s | Tierra: 6681.29 km
Tiempo: 1400 s | X: -459.29 km | Y: 5858.42 km | Z: 3180.86 km | Velocidad: 7.72 km/s | Tierra: 6682.06 km
Tiempo: 1410 s | X: -536.34 km | Y: 5854.04 km | Z: 3178.49 km | Velocidad: 7.72 km/s | Tierra: 6682.83 km
Tiempo: 1420 s | X: -613.31 km | Y: 5848.88 km | Z: 3175.68 km | Velocidad: 7.72 km/s | Tierra: 6683.60 km
Tiempo: 1430 s | X: -690.21 km | Y: 5842.94 km | Z: 3172.46 km | Velocidad: 7.72 km/s | Tierra: 6684.37 km
Tiempo: 1440 s | X: -767.01 km | Y: 5836.22 km | Z: 3168.81 km | Velocidad: 7.72 km/s | Tierra: 6685.14 km
Tiempo: 1450 s | X: -843.71 km | Y: 5828.72 km | Z: 3164.74 km | Velocidad: 7.72 km/s | Tierra: 6685.91 km
Tiempo: 1460 s | X: -920.29 km | Y: 5820.44 km | Z: 3160.24 km | Velocidad: 7.72 km/s | Tierra: 6686.67 km
Tiempo: 1470 s | X: -996.75 km | Y: 5811.39 km | Z: 3155.33 km | Velocidad: 7.72 km/s | Tierra: 6687.44 km
Tiempo: 1480 s | X: -1073.08 km | Y: 5801.56 km | Z: 3149.99 km | Velocidad: 7.71 km/s | Tierra: 6688.20 km
Tiempo: 1490 s | X: -1149.27 km | Y: 5790.96 km | Z: 3144.23 km | Velocidad: 7.71 km/s | Tierra: 6688.96 km
Tiempo: 1500 s | X: -1225.31 km | Y: 5779.58 km | Z: 3138.06 km | Velocidad: 7.71 km/s | Tierra: 6689.72 km
Tiempo: 1510 s | X: -1301.18 km | Y: 5767.44 km | Z: 3131.47 km | Velocidad: 7.71 km/s | Tierra: 6690.48 km
Tiempo: 1520 s | X: -1376.88 km | Y: 5754.53 km | Z: 3124.46 km | Velocidad: 7.71 km/s | Tierra: 6691.24 km
Tiempo: 1530 s | X: -1452.39 km | Y: 5740.86 km | Z: 3117.03 km | Velocidad: 7.71 km/s | Tierra: 6691.99 km
Tiempo: 1540 s | X: -1527.71 km | Y: 5726.42 km | Z: 3109.19 km | Velocidad: 7.71 km/s | Tierra: 6692.75 km
Tiempo: 1550 s | X: -1602.83 km | Y: 5711.22 km | Z: 3100.94 km | Velocidad: 7.71 km/s | Tierra: 6693.50 km
Tiempo: 1560 s | X: -1677.74 km | Y: 5695.26 km | Z: 3092.27 km | Velocidad: 7.71 km/s | Tierra: 6694.25 km
Tiempo: 1570 s | X: -1752.42 km | Y: 5678.54 km | Z: 3083.20 km | Velocidad: 7.71 km/s | Tierra: 6694.99 km
Tiempo: 1580 s | X: -1826.87 km | Y: 5661.07 km | Z: 3073.71 km | Velocidad: 7.71 km/s | Tierra: 6695.74 km
Tiempo: 1590 s | X: -1901.08 km | Y: 5642.85 km | Z: 3063.82 km | Velocidad: 7.70 km/s | Tierra: 6696.48 km
Tiempo: 1600 s | X: -1975.03 km | Y: 5623.88 km | Z: 3053.52 km | Velocidad: 7.70 km/s | Tierra: 6697.22 km
Tiempo: 1610 s | X: -2048.72 km | Y: 5604.16 km | Z: 3042.81 km | Velocidad: 7.70 km/s | Tierra: 6697.96 km
Tiempo: 1620 s | X: -2122.14 km | Y: 5583.70 km | Z: 3031.70 km | Velocidad: 7.70 km/s | Tierra: 6698.69 km
Tiempo: 1630 s | X: -2195.28 km | Y: 5562.50 km | Z: 3020.19 km | Velocidad: 7.70 km/s | Tierra: 6699.42 km
Tiempo: 1640 s | X: -2268.13 km | Y: 5540.56 km | Z: 3008.28 km | Velocidad: 7.70 km/s | Tierra: 6700.15 km
Tiempo: 1650 s | X: -2340.68 km | Y: 5517.89 km | Z: 2995.97 km | Velocidad: 7.70 km/s | Tierra: 6700.88 km
Tiempo: 1660 s | X: -2412.92 km | Y: 5494.49 km | Z: 2983.26 km | Velocidad: 7.70 km/s | Tierra: 6701.60 km
Tiempo: 1670 s | X: -2484.84 km | Y: 5470.36 km | Z: 2970.16 km | Velocidad: 7.70 km/s | Tierra: 6702.32 km
Tiempo: 1680 s | X: -2556.43 km | Y: 5445.50 km | Z: 2956.67 km | Velocidad: 7.70 km/s | Tierra: 6703.03 km
Tiempo: 1690 s | X: -2627.68 km | Y: 5419.92 km | Z: 2942.78 km | Velocidad: 7.70 km/s | Tierra: 6703.75 km
